,,,,,,,,,,,,,
,,,Testing Accuracy,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Iterations,Epochs,entropy,GEL,GLL,hinge,largemargin,lee,surrogate expo,surrogate hinge,surrogate hinge squares,surrogate logistic,surrogate suares
,0,0,"0,1107594937","0,0903876582","0,097409019","0,1032436709","0,0993868671","0,0992879747","0,0977056962","0,1073971519","0,0997824367","0,1000791139","0,1064082278"
,1000,2,"0,4823971519","0,4804193038","0,4805181962","0,4819026899","0,4759691456","0,4350276899","0,4970332278","0,3959651899","0,5035601266","0,4580696203","0,4942642405"
,2000,5,"0,5471716772","0,5539952532","0,5589398734","0,5548852848","0,5633900316","0,5092958861","0,550534019","0,4545094937","0,5714003165","0,5259098101","0,562994462"
,3000,7,"0,5870253165","0,5982990506","0,5997824367","0,5959256329","0,6075949367","0,542227057","0,5807950949","0,4930775316","0,6021558544","0,5529074367","0,5975079114"
,4000,10,"0,6152096519","0,6188686709","0,6202531646","0,6192642405","0,6311313291","0,5635878165","0,6053204114","0,5290743671","0,6275712025","0,5752571203","0,6195609177"
,5000,12,"0,6368670886","0,6377571203","0,6362737342","0,6428006329","0,6497231013","0,594244462","0,6120450949","0,5565664557","0,6418117089","0,5972112342","0,6393393987"
,6000,15,"0,6502175633","0,6555577532","0,6502175633","0,6581289557","0,6649525316","0,6163963608","0,6321202532","0,5794106013","0,6528876582","0,6121439873","0,648931962"
,7000,17,"0,6626780063","0,6688093354","0,6647547468","0,6766218354","0,6794897152","0,6337025316","0,6380537975","0,6018591772","0,6630735759","0,6249011076","0,6560522152"
,8000,20,"0,6725672468","0,6821598101","0,6800830696","0,691159019","0,6930379747","0,6509098101","0,6477452532","0,6215387658","0,6758306962","0,6358781646","0,6675237342"
,9000,23,"0,6845332278","0,6927412975","0,6946202532","0,7012460443","0,7068829114","0,6633702532","0,6517998418","0,640130538","0,6845332278","0,6432950949","0,6759295886"
,10000,25,"0,6955102848","0,7027294304","0,7021360759","0,7103441456","0,7163765823","0,6722705696","0,6338014241","0,6526898734","0,6913568038","0,6512064873","0,6831487342"
,11000,28,"0,7053006329","0,707772943","0,7121242089","0,7196400316","0,722409019","0,6793908228","0,6331091772","0,6624802215","0,6964992089","0,6564477848","0,6913568038"
,12000,30,"0,7133109177","0,7152887658","0,7207278481","0,7287381329","0,7292325949","0,6864121835","0,6568433544","0,6726661392","0,7060917722",,"0,7012460443"
,13000,33,"0,7203322785","0,722903481","0,7268591772","0,7354628165","0,7335838608","0,6926424051","0,6692049051","0,6803797468","0,7126186709",,"0,7053995253"
,14000,35,"0,7268591772","0,7283425633","0,7322982595","0,7400118671","0,7383306962","0,698971519","0,6630735759","0,6892800633","0,7196400316",,"0,7088607595"
,15000,38,"0,7329905063","0,7335838608","0,7374406646","0,7438686709","0,7440664557","0,7035205696","0,6763251582","0,695806962","0,7238924051",,"0,7172666139"
,16000,40,"0,7378362342","0,7381329114","0,7413963608","0,7501977848","0,750494462","0,7073773734","0,6788963608","0,7003560127","0,7287381329",,"0,7239912975"
,17000,43,"0,7432753165","0,7414952532","0,7455498418","0,7560324367","0,7563291139","0,7098496835","0,6589200949","0,7049050633","0,7323971519",,"0,7269580696"
,18000,46,"0,7477254747","0,7490110759","0,7488132911","0,7597903481","0,760977057","0,7140031646","0,660403481","0,7117286392","0,7374406646",,"0,7306170886"
,19000,48,"0,7510878165","0,7524723101","0,7508900316","0,7625593354","0,7634493671","0,7172666139","0,6745450949","0,7175632911","0,7400118671",,"0,734375"
,20000,51,"0,7557357595","0,7549446203","0,7530656646","0,7668117089","0,766119462","0,7211234177","0,6317246835","0,7208267405","0,7447587025",,"0,7402096519"
,21000,53,"0,7599881329","0,7575158228","0,7577136076","0,768789557","0,7667128165","0,7236946203","0,6653481013","0,7252768987","0,7456487342",,"0,7438686709"
,22000,56,"0,7623615506","0,7605814873","0,7613726266","0,7710640823","0,7711629747","0,7265625","0,6826542722","0,7296281646","0,7483188291",,"0,746340981"
,23000,58,"0,7671083861","0,7634493671","0,7634493671","0,7733386076","0,7742286392","0,7289359177","0,6886867089","0,7329905063","0,7524723101",,"0,749505538"
,24000,61,"0,7691851266","0,765625","0,7667128165","0,7758109177","0,7760087025","0,7316060127","0,680181962","0,7366495253","0,7562302215",,"0,7537579114"
,25000,64,"0,7727452532","0,7672072785","0,769284019","0,7793710443","0,7772943038","0,7346716772","0,6905656646","0,7399129747","0,758306962",,"0,7564280063"
,26000,66,"0,7750197785","0,7721518987","0,7728441456","0,7830300633","0,7806566456","0,7366495253","0,683346519","0,7437697785","0,761965981",,"0,7579113924"
,27000,69,"0,7777887658","0,7730419304","0,7744264241","0,784414557","0,7823378165","0,739022943","0,6766218354","0,746340981","0,7639438291",,"0,7621637658"
,28000,71,"0,7788765823","0,7743275316","0,7757120253","0,7868868671","0,7843156646","0,7406052215","0,683840981","0,7493077532","0,7657238924",,"0,7642405063"
,29000,74,"0,781744462","0,7750197785","0,7769976266","0,7890625","0,7842167722","0,7428797468","0,6867088608","0,7519778481","0,7674050633",,"0,7655261076"
,30000,76,"0,7827333861","0,7782832278","0,7795688291","0,7918314873","0,7870846519","0,7445609177","0,6726661392","0,7540545886","0,7678995253",,"0,7674050633"
,31000,79,"0,7846123418","0,7811511076","0,78125","0,7926226266","0,7892602848","0,7449564873","0,6537776899","0,7560324367","0,768789557",,"0,7681962025"
,32000,81,"0,785897943","0,7822389241","0,7826344937","0,7962816456","0,7909414557","0,7466376582","0,6689082278","0,7580102848","0,7713607595",,"0,770272943"
,33000,84,"0,7868868671","0,7835245253","0,7831289557","0,796380538","0,7918314873","0,7489121835","0,6607001582","0,7610759494","0,7740308544",,"0,7716574367"
,34000,87,"0,7886669304","0,7848101266","0,7865901899","0,7962816456","0,7930181962","0,7496044304","0,6424050633","0,7632515823","0,7750197785",,"0,7738330696"
,35000,89,"0,7900514241","0,7875791139","0,7871835443","0,7991495253","0,7949960443","0,7509889241","0,6676226266","0,7659216772","0,7767009494",,"0,7757120253"
,36000,92,"0,7902492089","0,7894580696","0,7888647152","0,7999406646","0,7958860759","0,7520767405","0,6811708861","0,7675039557","0,776602057",,"0,7777887658"
,37000,94,"0,7917325949","0,7908425633","0,7893591772","0,8004351266","0,7975672468","0,7523734177","0,6836431962","0,7700751582","0,776602057",,"0,7784810127"
,38000,97,"0,7921281646","0,7913370253","0,7911392405","0,8022151899","0,7976661392","0,7544501582","0,6867088608","0,7707674051","0,7786787975",,"0,7819422468"
,39000,99,"0,7933148734","0,792227057","0,7918314873","0,8043908228","0,7981606013","0,7547468354","0,6744462025","0,7731408228","0,7799643987",,"0,7831289557"
,40000,102,"0,7950949367","0,7931170886","0,792721519","0,8056764241","0,7981606013","0,7557357595","0,6743473101","0,7748219937","0,7814477848",,"0,7838212025"
,41000,104,"0,7957871835","0,7942049051","0,7936115506","0,8063686709","0,7985561709","0,757318038","0,6878955696","0,7758109177","0,7831289557",,"0,7851068038"
,42000,107,"0,7974683544","0,7955893987","0,7950949367","0,8064675633","0,7997428797","0,758306962","0,683840981","0,7781843354","0,7847112342",,"0,7864912975"
,43000,110,"0,7983583861","0,7958860759","0,7970727848","0,8084454114","0,8017207278","0,7579113924","0,6845332278","0,7792721519","0,7851068038",,"0,7863924051"
,44000,112,"0,7999406646","0,7961827532","0,796875","0,8094343354","0,8025118671","0,7591969937","0,6941257911","0,78125","0,7873813291",,"0,7881724684"
,45000,115,"0,8003362342","0,796875","0,7978639241","0,8096321203","0,8028085443","0,7589003165","0,6976859177","0,7827333861","0,7878757911",,"0,7894580696"
,46000,117,"0,8011273734","0,796380538","0,7997428797","0,8102254747","0,8024129747","0,7604825949","0,6901700949","0,7840189873","0,788568038",,"0,7905458861"
,47000,120,"0,8011273734","0,7993473101","0,8022151899","0,8101265823","0,8034018987","0,761471519","0,6850276899","0,784414557","0,7897547468",,"0,7916337025"
,48000,122,"0,8028085443","0,7997428797","0,8016218354","0,8114121835","0,8042919304","0,7622626582","0,6881922468","0,7857001582","0,7899525316",,"0,792227057"
,49000,125,"0,8026107595","0,8002373418","0,8035007911","0,8133900316","0,8062697785","0,7630537975","0,6896756329","0,7867879747","0,7914359177",,"0,7936115506"
,50000,128,"0,8039952532","0,8017207278","0,8033030063","0,8139833861","0,8066653481","0,7648338608","0,6976859177","0,7874802215","0,7916337025",,"0,7951938291"
,51000,130,"0,8044897152","0,8027096519","0,8046875","0,8151700949","0,8084454114","0,7649327532","0,7002571203","0,7884691456","0,7921281646",,"0,7958860759"
,52000,133,"0,8056764241","0,8028085443","0,8049841772","0,8160601266","0,8087420886","0,7652294304","0,6976859177","0,7890625","0,7933148734",,"0,7975672468"
,53000,135,"0,8061708861","0,8032041139","0,8054786392","0,8173457278","0,809335443","0,765625","0,7034216772","0,7907436709","0,7940071203",,"0,7990506329"
,54000,138,"0,8069620253","0,8034018987","0,8060719937","0,8184335443","0,8100276899","0,7664161392","0,7051028481","0,7918314873","0,7948971519",,"0,8008306962"
,55000,140,"0,8074564873","0,8058742089","0,8068631329","0,8183346519","0,8099287975","0,7678006329","0,7039161392","0,793215981","0,7957871835",,"0,8017207278"
,56000,143,"0,8081487342","0,8058742089","0,8079509494","0,8199169304","0,8114121835","0,7689873418","0,7016416139","0,7942049051","0,7974683544",,"0,8022151899"
,57000,145,"0,8092365506","0,8064675633","0,8079509494","0,8204113924","0,8127966772","0,7700751582","0,7043117089","0,7956882911","0,7967761076",,"0,8023140823"
,58000,148,"0,8102254747","0,8084454114","0,8085443038","0,8202136076","0,8117088608","0,7717563291","0,7009493671","0,796380538","0,7981606013",,"0,8035007911"
,59000,151,"0,8115110759","0,8098299051","0,808840981","0,819818038","0,812994462","0,7718552215","0,6900712025","0,7965783228","0,7993473101",,"0,8042919304"
,60000,153,"0,8119066456","0,8092365506","0,8097310127","0,8194224684","0,8142800633","0,7722507911","0,6652492089","0,7986550633","0,8004351266",,"0,8057753165"
,61000,156,"0,8122033228","0,8091376582","0,8100276899","0,8203125","0,8157634494","0,7731408228","0,6593156646","0,7978639241","0,8004351266",,"0,8068631329"
,62000,158,"0,8130933544","0,8099287975","0,8109177215","0,8209058544","0,8176424051","0,7746242089","0,660897943","0,7991495253","0,8008306962",,"0,8070609177"
,63000,161,"0,8130933544","0,8099287975","0,8113132911","0,8220925633","0,8188291139","0,7750197785","0,6690071203","0,8006329114","0,801028481",,"0,8090387658"
,64000,163,"0,8132911392","0,8116099684","0,8116099684","0,8220925633","0,8194224684","0,7758109177","0,6732594937","0,8011273734","0,8011273734",,"0,8095332278"
,65000,166,"0,8143789557","0,8126977848","0,812005538","0,8220925633","0,8205102848","0,776602057","0,6743473101","0,8025118671","0,8011273734",,"0,8103243671"
,66000,168,"0,8144778481","0,8126977848","0,8140822785","0,8214992089","0,8210047468","0,7772943038","0,6700949367","0,8046875","0,8028085443",,"0,8102254747"
,67000,171,"0,8136867089","0,812994462","0,8136867089","0,8223892405","0,8207080696","0,7779865506","0,6699960443","0,8046875","0,8036985759",,"0,8113132911"
,68000,174,"0,8147745253","0,8131922468","0,812994462","0,8233781646","0,8219936709","0,7782832278","0,6676226266","0,8048852848","0,8043908228",,"0,8111155063"
,69000,176,"0,8151700949","0,8135878165","0,8144778481","0,8243670886","0,8219936709","0,7797666139","0,6696004747","0,8052808544","0,8053797468",,"0,812005538"
,70000,179,"0,816159019","0,8146756329","0,8143789557","0,8243670886","0,8210047468","0,780755538","0,6684137658","0,805181962","0,8052808544",,"0,8115110759"
,71000,181,"0,8164556962","0,8155656646","0,8152689873","0,8250593354","0,8211036392","0,7804588608","0,6560522152","0,8063686709","0,8067642405",,"0,8107199367"
,72000,184,"0,8165545886","0,8154667722","0,8167523734","0,8238726266","0,8213014241","0,7797666139","0,6589200949","0,8073575949","0,8080498418",,"0,8118077532"
,73000,186,"0,8172468354","0,8157634494","0,8173457278","0,824960443","0,8218947785","0,7798655063","0,6485363924","0,8075553797","0,8095332278",,"0,8119066456"
,74000,189,"0,8178401899","0,8150712025","0,8173457278","0,8246637658","0,8225870253","0,7806566456","0,640130538","0,808346519","0,8092365506",,"0,8112143987"
,75000,192,"0,8184335443","0,8155656646","0,8180379747","0,8262460443","0,8219936709","0,7811511076","0,6321202532","0,8097310127","0,8100276899",,"0,8121044304"
,76000,194,"0,8193235759","0,8158623418","0,8183346519","0,8263449367","0,8219936709","0,7820411392","0,6312302215","0,8090387658","0,8111155063",,"0,8125988924"
,77000,197,"0,8203125","0,8169501582","0,819818038","0,8275316456","0,8231803797","0,7825356013","0,6487341772","0,8089398734","0,8122033228",,"0,8135878165"
,78000,199,"0,819818038","0,8174446203","0,8200158228","0,8270371835","0,824465981","0,7830300633","0,6598101266","0,8094343354","0,8125",,"0,8136867089"
,79000,202,"0,8204113924","0,8173457278","0,8204113924","0,8270371835","0,824960443","0,7837223101","0,6693037975","0,8112143987","0,8125",,"0,8149723101"
,79999,204,"0,8206091772","0,8181368671","0,8212025316","0,8265427215","0,8254549051","0,7834256329","0,6622824367","0,8119066456","0,8125988924",,"0,8150712025"
