Iterations	Crammer (2)	cross_entropy (4)	GEL ( 4)	GLL (4)	Hinge (4)	Large_margin (m=1) (5)	Large_margin (m=4) (1)	Lee (4)	surrogate_double_hinge (2)	surrogate_exponential (2)	surrogate_hinge (3)	surrogate_hinge_squares (3)	surrogate_sigmoid (3)	surrogate_squares (3)
1000	0,1135382354	0,3258120865	0,2372018844	0,2352744788	0,2279566713	0,3256373286	0,349609375	0,2024825364	0,1012026966	0,1104029715	0,2250548204	0,1112253269	0,1001233657	0,160875837
2000	0,1198087931	0,2707391083	0,2425729781	0,2502569705	0,2208444625	0,29765625	0,2438322306	0,2982370555	0,1151829958	0,0971936584	0,2904673715	0,2013089259	0,0998834968	0,142338256
3000	0,1105057597	0,3655427545	0,2931486368	0,232421875	0,2504047565	0,2920024633	0,1390830874	0,2892423868	0,1005345285	0,1022306681	0,3346011639	0,160875837	0,0999177496	0,2049410542
4000	0,1061369181	0,2446803004	0,2259714156	0,2175421566	0,1985826977	0,3375205517	0,4021381736	0,2377158701	0,1004317403	0,099609375	0,3135279417	0,248526593	0,1002261639	0,147580862
5000	0,1125616729	0,2562705725	0,2324475795	0,3047132045	0,2264982574	0,4067639709	0,2265625	0,2332185358	0,0995065868	0,1307565868	0,3544408083	0,2613075574	0,0999177496	0,2090186477
6000	0,1197060049	0,3117804229	0,2249177694	0,4166581109	0,268265577	0,3377055883	0,3835320473	0,2294922024	0,099712193	0,0999691486	0,3892886341	0,2906729778	0,0995751222	0,208367606
7000	0,103464216	0,4368575141	0,2697368413	0,3674187809	0,2943693381	0,3205797672	0,2436266541	0,2771895528	0,1106085479	0,152240932	0,4304756025	0,4071751634	0,1003289421	0,3843201796
8000	0,1106599569	0,5299650431	0,2437037528	0,3790861368	0,3158537224	0,4186060786	0,5177837312	0,3868215382	0,1000205576	0,1564555764	0,517338266	0,440069894	0,0999177694	0,4171806375
9000	0,1177014709	0,5031095743	0,2229646444	0,3876696229	0,3078613281	0,4793174386	0,5600329041	0,3417454809	0,1001233459	0,1722348034	0,5369723241	0,4203330477	0,0998492241	0,3940172791
10000	0,1245888174	0,5874023438	0,3597604856	0,4666169807	0,3845921569	0,4904605329	0,4538445473	0,4772306681	0,0991981626	0,1832853556	0,5478001535	0,4898917178	0,0998149912	0,5343338748
11000	0,12890625	0,5269325674	0,4446957186	0,5407329425	0,4103168696	0,5844366729	0,5152138174	0,4774876684	0,1000205576	0,171875	0,5764459968	0,5151795546	0,1001576384	0,5238486826
12000	0,1302425861	0,5897923559	0,4477796033	0,596011512	0,4409565143	0,5569490194	0,5453330576	0,6196546033	0,099609375	0,1732113659	0,6111225386	0,5908374389	0,1001576185	0,5112732947
13000	0,1441200674	0,6384919733	0,3849969059	0,5886102021	0,4390547872	0,6526521385	0,5162417889	0,6208624616	0,1002775431	0,1282380819	0,6472382148	0,5713061988	0,1004317403	0,5824424227
14000	0,1376953125	0,6321186274	0,2371761948	0,6236122474	0,4076505955	0,6193667769	0,5756579041	0,5864000842	0,0998149812	0,1363075674	0,6722519199	0,6012198528	0,0994723042	0,6164679329
15000	0,162057966	0,6612613052	0,3275853246	0,6358449832	0,4466873948	0,630694896	0,7398231924	0,5843441635	0,1001747549	0,1005345285	0,6769805451	0,5971765419	0,1000891129	0,6461074601
16000	0,1586656868	0,6736996248	0,4744808823	0,6565069854	0,4908382948	0,6581825614	0,7412623465	0,6356393918	0,099712193	0,1090666056	0,6684827308	0,6189350287	0,1001918713	0,6570723653
17000	0,1210423708	0,6938476637	0,4299701825	0,6066509038	0,4628777802	0,6895764798	0,7505139858	0,6442485601	0,1002261639	0,2095497251	0,7201548815	0,7025424838	0,1000548402	0,6661526859
18000	0,1539884806	0,7105520144	0,3239103556	0,6475123391	0,4589907974	0,6972245038	0,7188527882	0,74043997	0,0998149812	0,1490542889	0,6672491729	0,7115885417	0,0997806986	0,6941817403
19000	0,1575863659	0,6886050552	0,4308953509	0,7193924747	0,4991198117	0,6615542769	0,6818462312	0,6509817019	0,1001747549	0,205078125	0,7252604167	0,7044956088	0,1000205676	0,6992872755
20000	0,1937705576	0,6957493871	0,4505293965	0,6944130287	0,5086155925	0,6452919424	0,7429070771	0,7184159122	0,1000719666	0,1205797493	0,734614859	0,7185786664	0,0999863148	0,7192639858
21000	0,1652446687	0,6912263595	0,4019325599	0,7325760685	0,4977449141	0,7228001654	0,7100123465	0,6271587163	0,1000205874	0,2158717215	0,7500342627	0,6704358508	0,0997464458	0,7457510978
22000	0,1423725486	0,6872944124	0,5204050168	0,7347090915	0,5211952673	0,7301809162	0,7963610142	0,6154399738	0,099660784	0,1119962931	0,7335526347	0,6939418912	0,1002946695	0,6878426522
23000	0,1324526966	0,7386410423	0,5001027882	0,7260742113	0,5243176846	0,7297697306	0,7648026347	0,7126593292	0,0999691486	0,2417249084	0,775390625	0,7460252196	0,1093407273	0,6835252196
24000	0,2067742646	0,7361996286	0,3133223653	0,7424701899	0,4996916121	0,7247532785	0,7586348653	0,6596936584	0,0997121632	0,1049033701	0,7140213797	0,7402343651	0,0996779005	0,7379043351
25000	0,1846217215	0,7164884917	0,3412828967	0,7477127835	0,4975264734	0,7106702328	0,6970600188	0,726254113	0,1002775729	0,1306023896	0,7546258171	0,7721011539	0,100089093	0,7738829503
26000	0,1557874084	0,7585834712	0,4930869564	0,7557308823	0,5407971796	0,7170847028	0,7046669424	0,7181589305	0,1005859375	0,1408306062	0,7664131025	0,7474986315	0,100466013	0,7392749439
27000	0,1593852639	0,7385125421	0,6768349111	0,7302117608	0,5762361195	0,7639391482	0,7711759806	0,7404913679	0,1002775729	0,1583059132	0,7769668301	0,7373218238	0,100226144	0,7485951235
28000	0,1916118264	0,7393092029	0,5668945238	0,7708675973	0,5671707876	0,7380139768	0,7985197306	0,7615388557	0,1000205576	0,1361533701	0,796258226	0,7486293912	0,1005002658	0,7764528493
29000	0,1832853556	0,7368935086	0,6086040214	0,7705335133	0,5748290997	0,7432771385	0,7206003368	0,6906866729	0,1003289521	0,1291118562	0,7739172131	0,7286869486	0,100466013	0,7596970946
30000	0,1623663604	0,747532893	0,5020045154	0,7347604856	0,5366660636	0,7657483578	0,7330386639	0,7253032476	0,0998663604	0,2502569854	0,7546258221	0,762815242	0,1005345384	0,7514391442
31000	0,164113909	0,7221936695	0,5681537725	0,756476149	0,552734375	0,7637746662	0,7978001684	0,7370220013	0,0996607542	0,3118318319	0,7625411203	0,7648026347	0,1005687912	0,7805989583
32000	0,2026110291	0,7524414063	0,5604440719	0,7342722081	0,5624421788	0,7606702298	0,6795847118	0,7680921033	0,1000719368	0,220805943	0,7829290032	0,7563048253	0,100089093	0,7701480339
33000	0,1968544424	0,7391807139	0,6196032017	0,7355571538	0,572798878	0,7399259895	0,76953125	0,7589175552	0,1002261639	0,3227282166	0,768057843	0,7847450674	0,1001233657	0,7634662837
34000	0,2056948841	0,7520302236	0,6737253256	0,7635947764	0,5987613024	0,7481496662	0,7041529715	0,7647769265	0,099660784	0,4149876535	0,7600397517	0,7585663398	0,1002946695	0,7908443014
35000	0,1754214764	0,7857216261	0,6802528761	0,7688373774	0,602558339	0,7872327298	0,7487664521	0,7403628752	0,0997635722	0,2827919424	0,7799821844	0,7661389858	0,1002946695	0,7612733046
36000	0,1558902264	0,7654451057	0,4915964082	0,7402086779	0,5382851046	0,7350740105	0,6423725188	0,749177631	0,1002775729	0,3234991729	0,7782689134	0,7742255976	0,0992667278	0,7883771956
37000	0,1823087931	0,7694284543	0,5216385797	0,7461194471	0,5548738185	0,7686677635	0,751336351	0,7415193282	0,1002775431	0,1437602937	0,7669956138	0,7648711552	0,1001233459	0,7850534519
38000	0,2088302076	0,7748252451	0,5492393188	0,7536492571	0,5716360072	0,7727590472	0,7892680913	0,6851099879	0,0998663604	0,2283100486	0,7867667278	0,8028714359	0,1031044523	0,7829632709
39000	0,2012746632	0,7383840494	0,6116879135	0,7586862706	0,5775082242	0,75859375	0,7192639709	0,7682976983	0,0998149514	0,4013671875	0,7787143638	0,7865611265	0,099369506	0,797731633
40000	0,2023026049	0,787109375	0,5250051357	0,7713815793	0,5714496737	0,7877055943	0,8062294424	0,7444747128	0,099557966	0,2272306681	0,7701480289	0,7793311377	0,1105742852	0,803351149
41000	0,1999897063	0,7543174364	0,5788959712	0,7614360601	0,5736597935	0,716180101	0,8036595434	0,6667608991	0,1004317403	0,2940481007	0,7917694598	0,8019120047	0,1000548204	0,804447641
42000	0,1676603556	0,7631321922	0,4345960096	0,7374331839	0,5257054353	0,7494860142	0,765625	0,7461194508	0,1000719666	0,2280016243	0,7874520322	0,802974234	0,1005687912	0,7888569037
43000	0,1940275431	0,7105777189	0,3662109226	0,7762386948	0,5117637198	0,7640213788	0,7633634806	0,7247121744	0,0999691486	0,1990131438	0,7953330576	0,7791598141	0,099849244	0,7856359631
44000	0,1711554229	0,7544716299	0,5270610526	0,7865439989	0,5598080261	0,7867598653	0,7964638174	0,680304274	0,0999691784	0,2130962312	0,7968064696	0,7920435866	0,0991639296	0,8136307547
45000	0,2192125916	0,7666015662	0,578741774	0,7635176815	0,5820184033	0,7773231924	0,7340666056	0,7643657476	0,1007915437	0,1663240194	0,8081140369	0,8028029054	0,0999177694	0,7956757148
46000	0,2083675861	0,7675524317	0,666658096	0,7856959254	0,6070685098	0,7622738481	0,751336351	0,7261770181	0,099660784	0,2432668507	0,7906387051	0,7919065207	0,1051946481	0,786012888
47000	0,1876027882	0,7422902919	0,679995887	0,7776264362	0,5968788508	0,7868215472	0,7598684281	0,7345805839	0,1000719368	0,3977693319	0,7833401859	0,7842653493	0,099609375	0,8046189696
48000	0,1703844666	0,7499229051	0,7337839194	0,7784231119	0,6081286008	0,7762746692	0,7698396444	0,7613589689	0,0999691486	0,1365645528	0,8010896395	0,7991022468	0,0993352532	0,7961211652
49000	0,2133018076	0,7793739699	0,4684930071	0,7837942019	0,5612407466	0,7735814154	0,6853412688	0,7158974074	0,1007915437	0,3582442403	0,7828262051	0,7995819648	0,0991296371	0,8130482485
50000	0,2042043507	0,8086708449	0,478849709	0,7760074064	0,5669330778	0,7979029596	0,8002672642	0,7635947801	0,099609375	0,3507401347	0,8048930913	0,7634662837	0,1002947092	0,8006784519
51000	0,1552734375	0,770867601	0,5479543656	0,7832545228	0,5643374817	0,7866159499	0,7473272979	0,7556280866	0,1000719666	0,1980366111	0,7910841554	0,8098273029	0,0999520222	0,7780290594
52000	0,1830283701	0,7736173905	0,4773848765	0,7723581456	0,5515971957	0,7793585539	0,768914476	0,7542146407	0,0993523896	0,1451994181	0,8031112949	0,7897478094	0,0999177496	0,7888569087
53000	0,2047697306	0,7703793123	0,5573345013	0,7755191214	0,5770006664	0,7881167799	0,7711759806	0,7390265204	0,1000719368	0,3591179848	0,7926260978	0,8001302133	0,0994723042	0,8109580576
54000	0,1907894611	0,7973632775	0,6342259459	0,7606650926	0,5957609443	0,7720805913	0,8004728556	0,7614874542	0,0999691784	0,2749280632	0,7942365656	0,8029399663	0,0998149713	0,8022203942
55000	0,2040501833	0,7742341682	0,5429944545	0,7751079388	0,5740966862	0,7862253308	0,765008226	0,7270250879	0,1000719666	0,3077200055	0,7981428156	0,80859375	0,1004317403	0,7963267565
56000	0,1648334563	0,7866467945	0,479903385	0,785464637	0,5542120682	0,7776521415	0,828741774	0,7565275468	0,1000719368	0,1418585479	0,7884457211	0,7927631537	0,0997807185	0,8168517003
57000	0,1940789521	0,767886512	0,5664319545	0,7660361864	0,5736084012	0,7827919394	0,8156866729	0,7222707644	0,1000719666	0,3324424326	0,7885142515	0,8071888685	0,1033443014	0,8047217677
58000	0,1734169424	0,756990131	0,5780735947	0,7844623737	0,5732357604	0,7850740135	0,7777549326	0,7872378752	0,1005859375	0,2646998465	0,794682016	0,8094161203	0,180544138	0,8113692453
59000	0,1806640625	0,7725637369	0,5361328162	0,7825606503	0,5679803165	0,7552631557	0,788445726	0,7171309628	0,1000719666	0,2247635722	0,8032826235	0,8078399152	0,0998835166	0,8014665594
60000	0,2218338847	0,8035310432	0,6464072838	0,777960524	0,6124331839	0,8003083855	0,7405427694	0,739591904	0,099557966	0,3139391541	0,805783997	0,8192502757	0,1003289421	0,7922149102
61000	0,2158717215	0,7870579809	0,6836965494	0,7717156671	0,6145854797	0,7881990135	0,8201069087	0,7311369255	0,0998149812	0,335886091	0,7979372243	0,8095531811	0,0997121731	0,8138020833
62000	0,1987047493	0,7970805913	0,5017475225	0,7933542319	0,5727217738	0,77578125	0,7829975337	0,7581979819	0,1004317403	0,1506990194	0,8205180913	0,8093818525	0,0998834968	0,8102042228
63000	0,2041529417	0,7919664904	0,6024105772	0,7739000805	0,5931075225	0,7666118413	0,7676809281	0,7592259459	0,1005345285	0,2348889709	0,7913925449	0,8103755514	0,0999177694	0,8191817403
64000	0,1823087931	0,7403114699	0,658999797	0,7814812921	0,590775338	0,7745476931	0,8229852021	0,7703793161	0,0998663902	0,3499177694	0,7954358508	0,8052357435	0,1607044935	0,8087650786
65000	0,1988075674	0,7569130398	0,7190069854	0,7652652115	0,609998201	0,755633226	0,767578125	0,7837428041	0,099712193	0,2858758271	0,7980057547	0,820929274	0,099609375	0,8103412837
66000	0,2005550861	0,7879574411	0,7295435853	0,8026572764	0,6301783472	0,7651726961	0,6958264709	0,7781404182	0,0999177694	0,253803432	0,7975945721	0,8102384905	0,1001233459	0,8083881587
67000	0,2160773277	0,7419048101	0,5155993104	0,7727179267	0,5615748437	0,7936677665	0,818359375	0,7592773475	0,0997121632	0,4425884187	0,8066748927	0,8119517565	0,1674205065	0,8028714359
68000	0,1747533083	0,7979543582	0,426243823	0,8000102751	0,5497404411	0,7932154596	0,7679893076	0,7755448185	0,1004831493	0,3876952976	0,7767269711	0,8121573478	0,0997807185	0,8170915594
69000	0,1780941486	0,7566560395	0,5439453088	0,7777035385	0,5640997589	0,7957853615	0,836554274	0,7669356503	0,0994551778	0,1607216299	0,7937568525	0,8191817453	0,0996779005	0,8056811939
70000	0,2047697604	0,7817896754	0,577636715	0,7288754098	0,5732678901	0,7933388174	0,804070726	0,7343235984	0,1000719666	0,3383018076	0,7869723141	0,7695655127	0,100089093	0,8136992852
71000	0,1964946389	0,7640830576	0,4720651656	0,7608192787	0,5483655352	0,772491774	0,8227796108	0,7827662416	0,099609375	0,453793183	0,8000616779	0,8017406762	0,1004317602	0,8148643076
72000	0,1891447604	0,7492804267	0,4912623391	0,7900904566	0,5549444957	0,7990131587	0,824835524	0,7663702741	0,0999691486	0,3766447306	0,8018092116	0,8075657884	0,1000548204	0,8036252707
73000	0,2163343132	0,7922491804	0,5574629866	0,7581722885	0,5810546922	0,7865748376	0,787726149	0,7204461321	0,1000719666	0,378854841	0,7894051572	0,8147957772	0,0995065967	0,8254865706
74000	0,1980366111	0,7841282897	0,6004060395	0,7887027152	0,5928184139	0,7843338817	0,8095189184	0,7492290288	0,1002261639	0,3388671875	0,8090734631	0,8248355289	0,0998834968	0,8302837163
75000	0,1716179848	0,772486642	0,5763003752	0,7560135722	0,5691046435	0,765234372	0,8122944087	0,7800935432	0,0997635722	0,3165604472	0,8025630464	0,8062979728	0,1002603968	0,8169544985
76000	0,2046155632	0,7660361864	0,5187088959	0,7401572801	0,5573794814	0,7811266422	0,79296875	0,7424444854	0,099712193	0,1888363659	0,8078741779	0,7707990656	0,0995751023	0,8110265881
77000	0,1821032166	0,766961351	0,5798725337	0,8025030829	0,5828600461	0,7750822335	0,7927631587	0,7378957681	0,099660784	0,351511091	0,795401593	0,8176398029	0,1000205676	0,8190446794
78000	0,1901212931	0,7898334675	0,4777446613	0,7966951057	0,5635986319	0,7975328922	0,8041735142	0,7741313726	0,0999691784	0,1516241729	0,7717927595	0,8010553767	0,1004317602	0,7696340481
79000	0,2102179229	0,7845908701	0,6675575599	0,803042762	0,6163522787	0,8130345434	0,7990337163	0,7528782934	0,0997121632	0,3245785534	0,7925232997	0,7976973653	0,1001233657	0,8033854216
80000	0,1624691486	0,7661646791	0,6826685816	0,7938939147	0,601299081	0,8032689124	0,7566817403	0,7192125767	0,1001233459	0,4329769611	0,8177083383	0,8344983608	0,1332922379	0,8075315257
